id,name,variant,course,category,ingredients,description,price,calories,country_origin,availability
1,Salade de chèvre chaud,Chef's Special,Entrée,Classique,"oignons, bouillon, fromage, pain",Un(e) entrée populaire apprécié(e) pour sa saveur authentique.,12.09,176,Grèce,Non disponible
2,Gaspacho andalou,Chef's Special,Entrée,Épicé,"laitue, poulet, parmesan, croûtons",Gaspacho andalou entrée préparé(e) selon une recette traditionnelle de Maroc.,13.28,279,Maroc,Non disponible
3,Salade César,Signature,Entrée,Gourmet,"thon, maïs, olives",Un(e) entrée populaire apprécié(e) pour sa saveur authentique.,16.74,221,Grèce,Disponible
4,Rillettes de thon,Maison,Entrée,Gourmet,"oignons, bouillon, fromage, pain",Un(e) entrée populaire apprécié(e) pour sa saveur authentique.,13.23,345,Maroc,Épuisé
5,Soupe à l'oignon,Chef's Special,Entrée,Sans gluten,"oignons, bouillon, fromage, pain",Version équilibrée du classique Soupe à l'oignon.,13.97,161,France,Non disponible
6,Houmous et pain pita,Chef's Special,Entrée,Sans gluten,"chèvre, miel, salade",Version équilibrée du classique Houmous et pain pita.,23.28,242,France,Non disponible
7,Salade niçoise,Chef's Special,Entrée,Classique,"tomates, basilic, huile d'olive",Salade niçoise entrée préparé(e) selon une recette traditionnelle de Grèce.,22.83,175,Grèce,Épuisé
8,Carpaccio de boeuf,Traditionnelle,Entrée,Gourmet,"oignons, bouillon, fromage, pain",Une spécialité suisse mettant en valeur des ingrédients frais et de qualité.,15.33,321,Suisse,Épuisé
9,Gaspacho andalou,Chef's Special,Entrée,Épicé,"tomates, basilic, huile d'olive",Un(e) entrée populaire apprécié(e) pour sa saveur authentique.,16.93,219,Grèce,Non disponible
10,Gaspacho andalou,Signature,Entrée,Gourmet,"laitue, poulet, parmesan, croûtons",Gaspacho andalou entrée préparé(e) selon une recette traditionnelle de Tunisie.,22.08,252,Tunisie,Épuisé
11,Soupe à l'oignon,Signature,Entrée,Épicé,"oignons, bouillon, fromage, pain",Recette maison inspirée des saveurs de Grèce.,15.93,314,Grèce,Épuisé
12,Bruschetta,Végétarienne,Entrée,Végétarien,"thon, maïs, olives",Version équilibrée du classique Bruschetta.,16.43,299,Italie,Épuisé
13,Tartare de saumon,Signature,Entrée,Végétarien,"saumon, citron, herbes",Tartare de saumon entrée préparé(e) selon une recette traditionnelle de Espagne.,22.92,189,Espagne,Non disponible
14,Bruschetta,Légère,Entrée,Épicé,"saumon, citron, herbes",Version moderne du classique Bruschetta.,24.94,285,France,Épuisé
15,Mini quiches,Classique,Entrée,Gourmet,"laitue, poulet, parmesan, croûtons",Une spécialité grèce mettant en valeur des ingrédients frais et de qualité.,11.67,261,Grèce,Disponible
16,Houmous et pain pita,Classique,Entrée,Gourmet,"oignons, bouillon, fromage, pain",Version gourmande du classique Houmous et pain pita.,23.69,310,Grèce,Épuisé
17,Salade de chèvre chaud,Signature,Entrée,Végétarien,"tomates, basilic, huile d'olive",Version raffinée du classique Salade de chèvre chaud.,14.86,154,Tunisie,Disponible
18,Tartare de saumon,Végétarienne,Entrée,Végétarien,"tomates, basilic, huile d'olive",Tartare de saumon entrée préparé(e) selon une recette traditionnelle de France.,20.98,167,France,Non disponible
19,Rillettes de thon,Maison,Entrée,Végétarien,"saumon, citron, herbes",Une spécialité grèce mettant en valeur des ingrédients frais et de qualité.,17.92,305,Grèce,Épuisé
20,Salade niçoise,Signature,Entrée,Gourmet,"saumon, citron, herbes",Recette maison inspirée des saveurs de Tunisie.,23.49,265,Tunisie,Disponible
21,Salade niçoise,Signature,Entrée,Classique,"laitue, poulet, parmesan, croûtons",Version gourmande du classique Salade niçoise.,13.3,168,Tunisie,Non disponible
22,Salade de chèvre chaud,Classique,Entrée,Végétarien,"laitue, poulet, parmesan, croûtons",Salade de chèvre chaud entrée préparé(e) selon une recette traditionnelle de France.,17.71,221,France,Non disponible
23,Houmous et pain pita,Signature,Entrée,Épicé,"thon, maïs, olives",Un(e) entrée populaire apprécié(e) pour sa saveur authentique.,21.77,254,Italie,Disponible
24,Soupe à l'oignon,Chef's Special,Entrée,Gourmet,"oignons, bouillon, fromage, pain",Recette maison inspirée des saveurs de Maroc.,17.01,336,Maroc,Disponible
25,Salade de chèvre chaud,Chef's Special,Entrée,Classique,"thon, maïs, olives",Salade de chèvre chaud entrée préparé(e) selon une recette traditionnelle de Maroc.,13.73,198,Maroc,Non disponible
26,Houmous et pain pita,Maison,Entrée,Sans gluten,"oignons, bouillon, fromage, pain",Un(e) entrée populaire apprécié(e) pour sa saveur authentique.,23.12,169,Italie,Épuisé
27,Rillettes de thon,Chef's Special,Entrée,Classique,"chèvre, miel, salade",Rillettes de thon entrée préparé(e) selon une recette traditionnelle de Grèce.,23.9,210,Grèce,Disponible
28,Velouté de champignons,Traditionnelle,Entrée,Sans gluten,"saumon, citron, herbes",Un(e) entrée populaire apprécié(e) pour sa saveur authentique.,15.68,249,Italie,Épuisé
29,Rillettes de thon,Traditionnelle,Entrée,Vegan,"thon, maïs, olives",Un(e) entrée populaire apprécié(e) pour sa saveur authentique.,12.85,205,Maroc,Disponible
30,Assiette de fromages,Classique,Entrée,Gourmet,"laitue, poulet, parmesan, croûtons",Version raffinée du classique Assiette de fromages.,17.15,285,Tunisie,Disponible
31,Salade César,Chef's Special,Entrée,Végétarien,"chèvre, miel, salade",Un(e) entrée populaire apprécié(e) pour sa saveur authentique.,16.06,295,France,Disponible
32,Assiette de fromages,Classique,Entrée,Épicé,"saumon, citron, herbes",Une spécialité france mettant en valeur des ingrédients frais et de qualité.,13.06,333,France,Épuisé
33,Salade niçoise,Végétarienne,Entrée,Sans gluten,"thon, maïs, olives",Recette maison inspirée des saveurs de Italie.,14.74,342,Italie,Disponible
34,Salade César,Traditionnelle,Entrée,Épicé,"laitue, poulet, parmesan, croûtons",Version raffinée du classique Salade César.,13.2,217,Espagne,Disponible
35,Tartare de saumon,Chef's Special,Entrée,Végétarien,"oignons, bouillon, fromage, pain",Recette maison inspirée des saveurs de Tunisie.,22.51,330,Tunisie,Épuisé
36,Assiette de fromages,Classique,Entrée,Gourmet,"chèvre, miel, salade",Assiette de fromages entrée préparé(e) selon une recette traditionnelle de Suisse.,24.08,184,Suisse,Épuisé
37,Soupe à l'oignon,Chef's Special,Entrée,Gourmet,"tomates, basilic, huile d'olive",Une spécialité espagne mettant en valeur des ingrédients frais et de qualité.,19.07,333,Espagne,Épuisé
38,Salade niçoise,Végétarienne,Entrée,Épicé,"oignons, bouillon, fromage, pain",Salade niçoise entrée préparé(e) selon une recette traditionnelle de Maroc.,19.51,220,Maroc,Disponible
39,Salade César,Épicée,Entrée,Végétarien,"oignons, bouillon, fromage, pain",Recette maison inspirée des saveurs de Grèce.,18.28,259,Grèce,Non disponible
40,Salade César,Chef's Special,Entrée,Classique,"tomates, basilic, huile d'olive",Une spécialité grèce mettant en valeur des ingrédients frais et de qualité.,18.74,187,Grèce,Épuisé
41,Bruschetta,Classique,Entrée,Vegan,"laitue, poulet, parmesan, croûtons",Un(e) entrée populaire apprécié(e) pour sa saveur authentique.,20.23,320,Tunisie,Disponible
42,Tartare de saumon,Légère,Entrée,Épicé,"tomates, basilic, huile d'olive",Un(e) entrée populaire apprécié(e) pour sa saveur authentique.,24.64,195,Grèce,Épuisé
43,Salade César,Maison,Entrée,Gourmet,"saumon, citron, herbes",Une spécialité tunisie mettant en valeur des ingrédients frais et de qualité.,12.39,329,Tunisie,Disponible
44,Velouté de champignons,Classique,Entrée,Sans gluten,"tomates, basilic, huile d'olive",Une spécialité italie mettant en valeur des ingrédients frais et de qualité.,14.58,208,Italie,Disponible
45,Salade César,Signature,Entrée,Sans gluten,"oignons, bouillon, fromage, pain",Une spécialité tunisie mettant en valeur des ingrédients frais et de qualité.,15.27,280,Tunisie,Épuisé
46,Salade de chèvre chaud,Épicée,Entrée,Classique,"oignons, bouillon, fromage, pain",Version gourmande du classique Salade de chèvre chaud.,24.44,217,France,Disponible
47,Soupe à l'oignon,Légère,Entrée,Vegan,"oignons, bouillon, fromage, pain",Version moderne du classique Soupe à l'oignon.,24.76,179,Grèce,Épuisé
48,Assiette de fromages,Signature,Entrée,Vegan,"thon, maïs, olives",Assiette de fromages entrée préparé(e) selon une recette traditionnelle de France.,17.8,287,France,Non disponible
49,Gaspacho andalou,Signature,Entrée,Vegan,"laitue, poulet, parmesan, croûtons",Version équilibrée du classique Gaspacho andalou.,14.71,181,Maroc,Non disponible
50,Carpaccio de boeuf,Végétarienne,Entrée,Gourmet,"oignons, bouillon, fromage, pain",Une spécialité maroc mettant en valeur des ingrédients frais et de qualité.,18.32,199,Maroc,Épuisé
51,Burger maison,Légère,Plat,Gourmet,"poulet, herbes, légumes",Recette maison inspirée des saveurs de Grèce.,44.18,400,Grèce,Épuisé
52,Pizza Margherita,Signature,Plat,Sans gluten,"boeuf, frites, sauce",Recette maison inspirée des saveurs de Suisse.,40.46,745,Suisse,Disponible
53,Paella valenciana,Traditionnelle,Plat,Gourmet,"semoule, agneau, pois chiches, légumes",Une spécialité italie mettant en valeur des ingrédients frais et de qualité.,43.04,724,Italie,Non disponible
